DFO Area,Species Name,SMU Name,SMU Full Index,SMU Life History Type,CU Name,CU Common Name,CU Full Index,CU Life History Type,CU Type,DU Name,DU Number,DU Full Index,DU Acronym
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,NORTH BARRIERE-EARLY SUMMER TIMING,North Barriere-Early Summer Timing,SEL-10-03,Lake Type,Current,North Barriere-ES population (original),14,SEL-DU-14,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,NADINA/FRANCOIS-EARLY SUMMER TIMING,Nadina/Francois-Early Summer Timing,SEL-06-20,Lake Type,Current,Nadina-Francois-ES population,8,SEL-DU-8,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Lake Type; River Type,HARRISON RIVER,Harrison River,SER-03,River Type,Current,Harrison River (River-Type) population,23,SER-DU-23,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Lake Type; River Type,WIDGEON,Widgeon,SER-02,River Type,Current,Widgeon (River-Type) population,24,SER-DU-24,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - LATE,SEL-FIA-03,Lake Type,CULTUS-LATE TIMING,Cultus-Late Timing,SEL-03-02,Lake Type,Current,Cultus-L population,6,SEL-DU-6,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - LATE,SEL-FIA-03,Lake Type,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,Harrison-Downstream Migrating-Late Timing,SEL-03-03,Lake Type,Current,Harrison (D/S)-L population,9,SEL-DU-9,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - LATE,SEL-FIA-03,Lake Type,HARRISON-UPSTREAM MIGRATING-LATE TIMING,Harrison-Upstream Migrating-Late Timing,SEL-03-04,Lake Type,Current,Harrison (U/S)-L population,10,SEL-DU-10,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,PITT-EARLY SUMMER TIMING,Pitt-Early Summer Timing,SEL-03-05,Lake Type,Current,Pitt-ES population,15,SEL-DU-15,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,NAHATLATCH-EARLY SUMMER TIMING,Nahatlatch-Early Summer Timing,SEL-05-02,Lake Type,Current,Nahatlatch-ES population,13,SEL-DU-13,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,ANDERSON/SETON-EARLY SUMMER TIMING,Anderson/Seton-Early Summer Timing,SEL-06-01,Lake Type,Current,Anderson-Seton-ES population,1,SEL-DU-1,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,CHILKO-EARLY SUMMER TIMING,Chilko-Early Summer Timing,SEL-06-02,Lake Type,Current,Chilko-ES population,3,SEL-DU-3,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Lake Type; River Type,CHILKO-SUMMER TIMING,Chilko-Summer Timing,SEL-06-03,Lake Type,Current,Chilko-S population,4,SEL-DU-4,
FRASER AND INTERIOR,Sockeye,,,,FRASER-EARLY SUMMER TIMING,Fraser-Early Summer Timing,SEL-06-06,Lake Type,Extirpated,Fraser -ES population (original),200,SEL-DU-200,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Lake Type; River Type,QUESNEL-SUMMER TIMING,Quesnel-Summer Timing,SEL-06-10,Lake Type,Current,Quesnel-S population,16,SEL-DU-16,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - LATE,SEL-FIA-03,Lake Type,SETON-LATE TIMING,Seton-Late Timing,SEL-06-11,Lake Type,Current,Seton-L population,17,SEL-DU-17,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY STUART,SEL-FIA-14,Lake Type,TAKLA/TREMBLEUR-EARLY STUART TIMING,Takla/Trembleur-Early Stuart Timing,SEL-06-14,Lake Type,Current,Takla-Trembleur-EStu population,20,SEL-DU-20,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,TASEKO-EARLY SUMMER TIMING,Taseko-Early Summer Timing,SEL-06-16,Lake Type,Current,Taseko-ES population,22,SEL-DU-22,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,BOWRON-EARLY SUMMER TIMING,Bowron-Early Summer Timing,SEL-07-01,Lake Type,Current,Bowron-ES population,2,SEL-DU-2,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,SHUSWAP COMPLEX-EARLY SUMMER TIMING,Shuswap Complex-Early Summer Timing,SEL-09-02,Lake Type,Current,Shuswap-ES population,19,SEL-DU-19,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - LATE,SEL-FIA-03,Lake Type,SHUSWAP COMPLEX-LATE TIMING,Shuswap Complex-Late Timing,SEL-09-03,Lake Type,Current,Shuswap Complex-L population,18,SEL-DU-18,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Lake Type; River Type,KAMLOOPS-EARLY SUMMER TIMING,Kamloops-Early Summer Timing,SEL-10-01,Lake Type,Current,Kamloops-ES population,11,SEL-DU-11,
FRASER AND INTERIOR,Sockeye,,,,MCKINLEY-SUMMER TIMING,,SEL-06-08,Lake Type,Deprecated,,,,
FRASER AND INTERIOR,Sockeye,,,,ADAMS-EARLY SUMMER TIMING,,SEL-09-04,Lake Type,Extirpated,,,,
FRASER AND INTERIOR,Sockeye,,,,NADINA-EARLY SUMMER TIMING,,SEL-06-09,Lake Type,Deprecated,,,,
FRASER AND INTERIOR,Sockeye,,,,TAKLA/TREMBLEUR-SUMMER TIMING,,SEL-06-15,Lake Type,Deprecated,,,,
FRASER AND INTERIOR,Sockeye,,,,SETON-SUMMER TIMING,,SEL-06-19,Lake Type,Extirpated,,,,
FRASER AND INTERIOR,Sockeye,,,,(X)NORTH BARRIERE-EARLY SUMMER TIMING,,SEL-10-02,Lake Type,Extirpated,,,,
FRASER AND INTERIOR,Sockeye,,,,MOMICH-EARLY SUMMER TIMING,,SEL-09-05,Lake Type,Extirpated,,,,
FRASER AND INTERIOR,Sockeye,,,,KAMLOOPS-LATE TIMING,,SEL-09-01,Lake Type,Deprecated,,,,
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,DOCEE,Docee,CK-36,,Current,"Smith Inlet, Ocean, Summer",32,CK-DU-32,SMITH
NORTH COAST,Chinook,,,,HATCHERY EXCLUSION-PALLANT CREEK,Hatchery Exclusion-Pallant Creek,CK-9002,,Bin,,,,
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,SICINTINE,Sicintine,CK-81,,Current,"Upper Skeena River, Stream, Spring",48,CK-DU-48,USK
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,ZYMOETZ,Zymoetz,CK-80,,Current,"Lower Skeena, Stream, Summer",42,CK-DU-42,LSK
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,MIDDLE SKEENA-MAINSTEM TRIBUTARIES,Middle Skeena-Mainstem Tributaries,CK-54,,Current,"Middle Skeena-M/S Tributary, Stream, Summer",47,CK-DU-47,MSK-M/S
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,LOWER SKEENA,Lower Skeena,CK-48,,Current,"Lower Skeena, Stream, Summer",42,CK-DU-42,LSK
NORTH COAST,Chinook,NASS CHINOOK SALMON,CK-NC-58,,UPPER NASS,Upper Nass,CK-58,,Current,"Upper Nass River, Stream, Summer",50,CK-DU-50,UNR
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,PORTLAND SOUND-OBSERVATORY INLET-LOWER NASS,Portland Sound-Observatory Inlet-Lower Nass,CK-57,,Current,"Lower Nass River, Stream, Summer",49,CK-DU-49,LNR-P
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,UPPER SKEENA,Upper Skeena,CK-56,,Current,"Upper Skeena River, Stream, Spring",48,CK-DU-48,USK
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,UPPER BULKLEY RIVER,Upper Bulkley River,CK-55,,Current,"Bulkley River, Stream, Spring",45,CK-DU-45,MSK-M/S
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,MIDDLE SKEENA-LARGE LAKES,Middle Skeena-Large Lakes,CK-53,,Current,"Middle Skeena - Lakes, Stream, Summer",46,CK-DU-46,MSK-LKS
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,LAKELSE,Lakelse,CK-51,,Current,"Lower Skeena, Stream, Summer",42,CK-DU-42,LSK
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,KALUM-LATE TIMING,Kalum-Late Timing,CK-50,,Current,"Kalum - Late Timing, Stream, Summer",44,CK-DU-44,KALUM-L
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,KALUM-EARLY TIMING,Kalum-Early Timing,CK-49,,Current,"Kalum - Early Timing, Stream, Spring",43,CK-DU-43,KALUM-E
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,ECSTALL,Ecstall,CK-46,,Current,"Ecstall, Ocean, Summer",41,CK-DU-41,ECST
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,SKEENA ESTUARY,Skeena Estuary,CK-45,,Current,"Skeena Estuary, Stream, Summer",40,CK-DU-40,SKEst
NORTH COAST,Chinook,HAIDA GWAII CHINOOK SALMON,CK-NC-04,,HAIDA GWAII-EAST,Haida Gwaii-East,CK-44,,Current,"Haida Gwaii-East Ocean, Fall",31,CK-DU-31,HGE
NORTH COAST,Chinook,HAIDA GWAII CHINOOK SALMON,CK-NC-04,,HAIDA GWAII-NORTH,Haida Gwaii-North,CK-43,,Current,"Haida Gwaii-North Ocean/Stream, Summer",30,CK-DU-30,HGN
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,NORTH AND CENTRAL COAST-EARLY TIMING,North and Central Coast-Early Timing,CK-42,,Current,"North and Central Coast Early, Ocean, Spring",38,CK-DU-38,NCC early
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,NORTH AND CENTRAL COAST-LATE TIMING,North and Central Coast-Late Timing,CK-41,,Current,"HecLow, Ocean/Stream, Summer; North and Central Coast Late, Ocean/Stream, Summer",39; 37,CK-DU-39; CK-DU-37,HecLow; NCC Late
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,DEAN RIVER,Dean River,CK-40,,Current,"Dean River, Stream, Summer",36,CK-DU-36,DEAN
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,BELLA COOLA-BENTINCK,Bella Coola-Bentinck,CK-39,,Current,"Bella Coola-Bentinck, Ocean, Summer",35,CK-DU-35,BCR-BENT
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,WANNOCK,Wannock,CK-38,,Current,"Wannock River, Ocean, Fall",34,CK-DU-34,WANN
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,RIVERS INLET,Rivers Inlet,CK-37,,Current,"Rivers Inlet, Stream, Summer",33,CK-DU-33,RIVERS
NORTH COAST,Chinook,,,,GITNADOIX,,CK-47,,Deprecated,,,,
NORTH COAST,Chinook,,,,MIDDLE SKEENA,,CK-52,,Deprecated,,,,
NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,CM-NC-02,,EAST HG,East HG,CM-21,,Current,,,,
NORTH COAST,Chum,SKEENA - NASS CHUM COASTAL,CM-NC-05,,PORTLAND CANAL-OBSERVATORY,Portland Canal-Observatory,CM-32,,Current,,,,
NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,CM-NC-02,,SKIDEGATE,Skidegate,CM-22,,Current,,,,
NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,CM-NC-02,,WEST HAIDA GWAII,West Haida Gwaii,CM-23,,Current,,,,
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,DOUGLAS-GARDNER,Douglas-Gardner,CM-20,,Current,,,,
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,RIVERS INLET,Rivers Inlet,CM-13,,Current,,,,
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,HECATE LOWLANDS,Hecate Lowlands,CM-18,,Current,,,,
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,SMITH INLET,Smith Inlet,CM-12,,Current,,,,
NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,CM-NC-02,,NORTH HAIDA GWAII-STANLEY CREEK,North Haida Gwaii-Stanley Creek,CM-25,,Current,,,,
NORTH COAST,Chum,NASS CHUM SALMON,CM-NC-31,,LOWER NASS,Lower Nass,CM-31,,Current,,,,
